time flux "flux error"
129.16222014738742 9.9997371e-01 7.1263166e-05
129.18265473109932 9.9968153e-01 7.1092989e-05
129.20308921469405 9.9941081e-01 7.1082708e-05
129.22352389839943 9.9944329e-01 7.1038427e-05
129.24395848199492 1.0004524e+00 7.1142720e-05
129.26439296547323 1.0002065e+00 7.1051436e-05
129.28482754906145 9.9952865e-01 7.0958165e-05
129.30526223254128 9.9922448e-01 7.0857881e-05
129.32569671590318 1.0000958e+00 7.0962713e-05
129.34613129925856 1.0003120e+00 7.1030365e-05
129.36656598262198 9.9994218e-01 7.1003262e-05
129.38700046598387 9.9880743e-01 7.0819689e-05
129.40743504922284 9.9973726e-01 7.0813621e-05
129.42786963246908 9.9966645e-01 7.0979986e-05
129.4483043155924 9.9996430e-01 7.0786569e-05
129.46873879872146 9.9928129e-01 7.0808273e-05
129.4891733818513 9.9947339e-01 7.0841648e-05
129.50960806498188 9.9996233e-01 7.1038150e-05
129.53004254798725 9.9963480e-01 7.0986564e-05
129.55047713088425 9.9983364e-01 7.0954848e-05
129.57091171389766 9.9907511e-01 7.0940478e-05
129.59134629678738 9.9991119e-01 7.0941445e-05
129.61178087956796 9.9965662e-01 7.0917798e-05
129.63221546234854 1.0000148e+00 7.1023736e-05
129.65265004512185 1.0000529e+00 7.1026603e-05
129.67308462790243 9.9952251e-01 7.1093287e-05
129.6935192105666 9.9936581e-01 7.1068978e-05
129.71395379322348 1.0001060e+00 7.1148788e-05
129.73438837577123 1.0002319e+00 7.1142567e-05
129.75482295831898 1.0000535e+00 7.1116752e-05
129.77525754085946 9.9932158e-01 7.1043352e-05
129.79569222329155 9.9993283e-01 7.1026712e-05
129.81612670572213 9.9990863e-01 7.0918351e-05
129.83656128802977 1.0000000e+00 7.0825641e-05
129.8569958703447 9.9952650e-01 7.0813119e-05
129.8774304526596 9.9970645e-01 7.0674170e-05
129.89786503485084 1.0002317e+00 7.0532420e-05
129.91829961716576 1.0003958e+00 7.0577335e-05
129.93873419924785 9.9918532e-01 7.0570051e-05
129.95916878132266 9.9971437e-01 7.0637194e-05
129.97960336340475 1.0000218e+00 7.0512135e-05
130.00003784548608 9.9994349e-01 7.0510869e-05
130.02047252744524 9.9994582e-01 7.0531984e-05
130.0409071094109 9.9957472e-01 7.0475260e-05
130.0613415912594 9.9944806e-01 7.0435846e-05
130.0817761731014 9.9967480e-01 7.0380069e-05
130.102210854835 9.9967009e-01 7.0229493e-05
130.12264533656707 9.9950987e-01 7.0094902e-05
130.14307991829264 9.9945909e-01 7.0077178e-05
130.16351460002625 9.9955106e-01 7.0092676e-05
130.18394918164267 9.9956691e-01 6.9968948e-05
130.20438366313465 9.9982911e-01 7.0081012e-05
130.22481824463466 9.9946791e-01 6.9916838e-05
130.24525292613544 9.9891996e-01 6.9704322e-05
131.51219628364197 1.0001720e+00 7.0970018e-05
131.53263096199225 1.0002285e+00 7.0970076e-05
131.55306554034905 1.0000361e+00 7.1003924e-05
131.5735000185814 9.9998540e-01 7.0948539e-05
131.59393459682178 9.9982983e-01 7.0967166e-05
